TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,COLUMN_TYPE,COLUMN_KEY,EXTRA
SilverCloud,B2B_Ekstre,Ekstre_ID,1,NULL,NO,int,NULL,10,int,PRI,auto_increment
SilverCloud,B2B_Ekstre,Tarih,2,NULL,NO,date,NULL,NULL,date,,
SilverCloud,B2B_Ekstre,Fis_No,3,NULL,NO,varchar,50,NULL,varchar(50),,
SilverCloud,B2B_Ekstre,Fis_Turu,4,NULL,YES,varchar,50,NULL,varchar(50),,
SilverCloud,B2B_Ekstre,Aciklama,5,NULL,YES,text,65535,NULL,text,,
SilverCloud,B2B_Ekstre,Borc,6,NULL,YES,decimal,NULL,15,"decimal(15,2)",,
SilverCloud,B2B_Ekstre,Alacak,7,NULL,YES,decimal,NULL,15,"decimal(15,2)",,
SilverCloud,B2B_Ekstre,Toplam_Bakiye,8,NULL,YES,decimal,NULL,15,"decimal(15,2)",,
SilverCloud,B2B_Ekstre,Fatura_No,9,NULL,YES,varchar,50,NULL,varchar(50),,
SilverCloud,B2B_Ekstre,Fatura_Metni,10,NULL,YES,text,65535,NULL,text,,
SilverCloud,B2B_Ekstre,Donem,11,NULL,NO,int,NULL,10,int,,
SilverCloud,B2B_Ekstre,Kategori_ID,12,NULL,YES,int,NULL,10,int,MUL,
SilverCloud,B2B_Ekstre,Sube_ID,13,NULL,NO,int,NULL,10,int,MUL,
SilverCloud,B2B_Ekstre,Kayit_Tarihi,14,NULL,YES,datetime,NULL,NULL,datetime,,
