Tip;Hesap_Adi;Tarih;Açıklama;Tutar
Banka Hesabı;QNB - DBS;13/08/2025;Transfer İşlemleri - Gönderen:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale;42170
Banka Hesabı;QNB - DBS;13/08/2025;Mevduat İşlemleri - FS995 NOLU ATM DEN VADESIZ HESABA  PARA YATIRMA, 880788;13900
Banka Hesabı;QNB - DBS;14/08/2025;Kart İşlemleri - Kredi Kartları Otomatik Tahsilat;-137677,17
Banka Hesabı;QNB - DBS;14/08/2025;Transfer İşlemleri - Gönderen:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale;36375
Banka Hesabı;QNB - DBS;14/08/2025;Mevduat İşlemleri - FS995 NOLU ATM DEN VADESIZ HESABA  PARA YATIRMA, 328871;10350
Banka Hesabı;QNB - DBS;14/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090138270.;-27959,89
Banka Hesabı;QNB - DBS;14/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090138271.;-4260,69
Banka Hesabı;QNB - DBS;14/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090138272.;-3371,35
Banka Hesabı;QNB - DBS;16/08/2025;Mevduat İşlemleri - FS995 NOLU ATM DEN VADESIZ HESABA  PARA YATIRMA, 710680;6800
Banka Hesabı;QNB - DBS;16/08/2025;Transfer İşlemleri - Gönderen:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale;135000
Banka Hesabı;QNB - DBS;18/08/2025;Ödeme İşlemleri - 7021348199 - Türk Telekom (İnternet) TAHSİLATI OTOMATIK ;-535
Banka Hesabı;QNB - DBS;18/08/2025;Transfer İşlemleri - Alıcı : pepsi cola servis ve dağıtım limited şirketi Türk Ekonomi Bankası A.Ş. Sorgu No: 1048855926 ;-14527,54
Banka Hesabı;QNB - DBS;18/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090139147.;-14027,6
Banka Hesabı;QNB - DBS;18/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090139956.;-40975,49
Banka Hesabı;QNB - DBS;18/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090139145.;-25250,57
Banka Hesabı;QNB - DBS;18/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090139957.;-9801,55
Banka Hesabı;QNB - DBS;18/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090139958.;-23389,53
Banka Hesabı;QNB - DBS;18/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090139146.;-15737,66
Banka Hesabı;QNB - DBS;18/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090140891.;-18770,98
Banka Hesabı;QNB - DBS;18/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090140894.;-12440,65
Banka Hesabı;QNB - DBS;18/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090140892.;-9595
Banka Hesabı;QNB - DBS;19/08/2025;Mevduat İşlemleri - FS995 NOLU ATM DEN VADESIZ HESABA  PARA YATIRMA, 243190;10100
