Tip,Hesap_Adi,Tarih,Açıklama,Tutar
Banka Hesabı,QNB - DBS,01/08/2025,Transfer İşlemleri - Alıcı : Çiğdem Koç TÜRKİYE GARANTİ BANKASI A.Ş. Sorgu No: 0969767 TALIMAT,-16900.00
Banka Hesabı,QNB - DBS,01/08/2025,Transfer İşlemleri - Gönderen:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale,394323.43
Banka Hesabı,QNB - DBS,01/08/2025,Transfer İşlemleri - Alıcı:Serdar Günizi-Hesaptan hesaba havale Al.Hs:19082356 Mobil Bankacılık-KOBİ,-132000.00
Banka Hesabı,QNB - DBS,01/08/2025,Transfer İşlemleri - Alıcı : Çiğdem Koç Türkiye Garanti Bankası A.Ş. Sorgu No: 987530941 MOBIL,-1337.20
Banka Hesabı,QNB - DBS,02/08/2025,"Mevduat İşlemleri - FS995 NOLU ATM DEN VADESIZ HESABA  PARA YATIRMA, 198214",14600.00
Banka Hesabı,QNB - DBS,02/08/2025,"Mevduat İşlemleri - FS995 NOLU ATM DEN VADESIZ HESABA  PARA YATIRMA, 201121",9700.00
Banka Hesabı,QNB - DBS,04/08/2025,Ödeme İşlemleri - 500101167879 - İGDAŞ - İstanbul Gaz Dağıtım TAHSİLATI OTOMATIK ,-7310.00
Banka Hesabı,QNB - DBS,04/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090134002.,-47335.23
Banka Hesabı,QNB - DBS,04/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090134003.,-8456.23
Banka Hesabı,QNB - DBS,04/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090134004.,-16118.47
Banka Hesabı,QNB - DBS,04/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090134811.,-30503.03
Banka Hesabı,QNB - DBS,04/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090134812.,-5848.41
Banka Hesabı,QNB - DBS,04/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090134813.,-17330.28
