Odeme_ID,Tip,Hesap_Adi,Tarih,Aciklama,Tutar,Kategori_ID,Donem,Sube_ID,Kayit_Tarihi
372,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-01,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-13.02,81,2507,1,"2025-08-28 19:46:52"
373,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-01,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-0.66,81,2507,1,"2025-08-28 19:46:56"
375,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-01,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı Üye İşyeri Ücreti - Peşin",-11.97,81,2507,1,"2025-08-28 19:47:05"
376,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-01,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı İşlemi BSMV",-0.60,81,2507,1,"2025-08-28 19:47:10"
385,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-02,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-6.84,81,2507,1,"2025-08-28 19:47:45"
386,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-02,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-0.34,81,2507,1,"2025-08-28 19:47:49"
388,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-02,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-12.35,81,2507,1,"2025-08-28 19:47:56"
389,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-02,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-0.62,81,2507,1,"2025-08-28 19:48:00"
405,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-04,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-13.78,81,2507,1,"2025-08-28 19:49:04"
406,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-04,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-0.69,81,2507,1,"2025-08-28 19:49:09"
418,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-07,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-32.02,81,2507,1,"2025-08-28 19:49:58"
419,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-07,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-1.60,81,2507,1,"2025-08-28 19:50:02"
