Eski	                Yeni
Lisans / Yazılım        Kredi Kartı Komisyon Giderleri
Sarf Malzemeleri	    Yemek Kartı Komisyon Giderleri
Haberleşme / İnternet	Personel Yemek Giderleri
Sigorta	                Temizlik Giderleri
Danışmanlık	            Bakım Onarım
İzin / Ruhsat	        Personel Tazminat (Kıdem, İhbar vb.)
Banka Masrafları	    İlaçlama
Eğitim	                Baca Temizliği
Kırtasiye	            ÇTV, İşgaliye, İlan Reklam Vergi Bedelleri
Seyahat	                Kırtasiye
Konaklama	            İş güvenliği Uzmanı
Temsil / Ağırlama	    Müşavirlik Ücreti
Ceza / Tazminat	        HIJYEN DENETİMİ
Diğer	                işyeriş sigorta gideri
